section,division,description
A,01,"Agricultura, ganadería, caza y actividades de servicios conexas"
A,02,"Silvicultura y extracción de madera"
A,03,"Pesca y acuicultura"
B,05,"Extracción de carbón de piedra y lignito"
B,06,"Extracción de petróleo crudo y gas natural"
B,07,"Extracción de minerales metalíferos"
B,08,"Extracción de otras minas y canteras"
B,09,"Actividades de servicios de apoyo para la explotación de minas"
C,10,"Elaboración de productos alimenticios"
C,11,"Elaboración de bebidas"
C,12,"Elaboración de productos de tabaco"
C,13,"Fabricación de productos textiles"
C,14,"Confección de prendas de vestir"
C,15,"Curtido y recurtido de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería; adobo y teñido de pieles"
C,16,"Transformación de la madera y fabricación de productos de madera y de corcho, excepto muebles; fabricación de artículos de cestería y espartería"
C,17,"Fabricación de papel, cartón y productos de papel y cartón"
C,18,"Actividades de impresión y de producción de copias a partir de grabaciones originales"
C,19,"Coquización, fabricación de productos de la refinación del petróleo y actividad de mezcla de combustibles"
C,20,"Fabricación de sustancias y productos químicos"
C,21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
C,22,"Fabricación de productos de caucho y de plástico"
C,23,"Fabricación de otros productos minerales no metálicos"
C,24,"Fabricación de productos metalúrgicos básicos"
C,25,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo"
C,26,"Fabricación de productos informáticos, electrónicos y ópticos"
C,27,"Fabricación de aparatos y equipo eléctrico"
C,28,"Fabricación de maquinaria y equipo n.c.p."
C,29,"Fabricación de vehículos automotores, remolques y semirremolques"
C,30,"Fabricación de otros tipos de equipo de transporte"
C,31,"Fabricación de muebles, colchones y somieres"
C,32,"Otras industrias manufactureras"
C,33,"Instalación, mantenimiento y reparación especializado de maquinaria y equipo"
D,35,"Suministro de electricidad, gas, vapor y aire acondicionado"
E,36,"Captación, tratamiento y distribución de agua"
E,37,"Evacuación y tratamiento de aguas residuales"
E,38,"Recolección, tratamiento y disposición de desechos, recuperación de materiales"
E,39,"Actividades de saneamiento ambiental y otros servicios de gestión de desechos"
F,41,"Construcción de edificios"
F,42,"Obras de ingeniería civil"
F,43,"Actividades especializadas para la construcción de edificios y obras de ingeniería civil"
G,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios"
G,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas"
G,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas"
H,49,"Transporte terrestre; transporte por tuberías"
H,50,"Transporte acuático"
H,51,"Transporte aéreo"
H,52,"Almacenamiento y actividades complementarias al transporte"
H,53,"Correo y servicios de mensajería"
I,55,"Alojamiento"
I,56,"Actividades de servicios de comidas y bebidas"
J,58,"Actividades de edición"
J,59,"Actividades cinematográficas, de video y producción de programas de televisión, grabación de sonido y edición de música"
J,60,"Actividades de programación, transmisión y/o difusión"
J,61,"Telecomunicaciones"
J,62,"Desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas), consultoría informática y actividades relacionadas"
J,63,"Actividades de servicios de información"
K,64,"Actividades de servicios financieros, excepto las de seguros y de pensiones"
K,65,"Seguros (incluso el reaseguro), seguros sociales y fondos de pensiones, excepto la seguridad social"
K,66,"Actividades auxiliares de las actividades de servicios financieros"
L,68,"Actividades inmobiliarias"
M,69,"Actividades jurídicas y de contabilidad"
M,70,"Actividades de administración empresarial; actividades de consultoría de gestión"
M,71,"Actividades de arquitectura e ingeniería; ensayos y análisis técnicos"
M,72,"Investigación científica y desarrollo"
M,73,"Publicidad y estudios de mercado"
M,74,"Otras actividades profesionales, científicas y técnicas"
M,75,"Actividades veterinarias"
N,77,"Actividades de alquiler y arrendamiento"
N,78,"Actividades de empleo"
N,79,"Actividades de las agencias de viajes, operadores turísticos, servicios de reserva y actividades relacionadas"
N,80,"Actividades de seguridad e investigación privada"
N,81,"Actividades de servicios a edificios y paisajismo (jardines, zonas verdes)"
N,82,"Actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas"
O,84,"Administración pública y defensa; planes de seguridad social de afiliación obligatoria"
P,85,"Educación"
Q,86,"Actividades de atención de la salud humana"
Q,87,"Actividades de atención residencial medicalizada"
Q,88,"Actividades de asistencia social sin alojamiento"
R,90,"Actividades creativas, artísticas y de entretenimiento"
R,91,"Actividades de bibliotecas, archivos, museos y otras actividades culturales"
R,92,"Actividades de juegos de azar y apuestas"
R,93,"Actividades deportivas y actividades recreativas y de esparcimiento"
S,94,"Actividades de asociaciones"
S,95,"Mantenimiento y reparación de computadores, efectos personales y enseres domésticos"
S,96,"Otras actividades de servicios personales"
T,97,"Actividades de los hogares individuales como empleadores de personal doméstico"
T,98,"Actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio"
U,99,"Actividades de organizaciones y entidades extraterritoriales"
